Accession,Species,Bacteria or Archaea,Genome Length (nt),Coding Length (nt),Non-coding Length (nt),Total Genes,Coding Genes,Total COGs,COGs/coding genes,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,Y,Z
NC_012883,Thermococcus sibiricus MM 739,Archaea,1845800,1674559,171241,2007,1912,1678,0.878,2,3,153,19,138,56,87,73,21,161,91,71,52,11,62,101,14,287,211,19,21,25,0,0,0
NC_013790,Methanobrevibacter ruminantium M1,Archaea,2937203,2276815,660388,2229,2115,1676,0.792,2,6,145,16,131,53,51,126,27,150,90,100,89,4,73,68,15,249,202,21,27,31,0,0,0
NZ_CP008941,Candidatus Paracaedibacter acanthamoebae,Bacteria,2485110,2119715,365395,2307,2167,1674,0.772,5,0,83,29,86,30,64,54,79,143,92,205,106,37,76,51,47,191,165,64,49,18,0,0,0
NC_020555,Helicobacter cinaedi CCUG 18818 = ATCC BAA-847,Bacteria,2240130,2025561,214569,2302,2196,1673,0.762,0,0,101,26,134,50,58,94,53,139,42,105,153,64,74,84,23,187,145,61,57,23,0,0,0
NC_021291,Spiribacter salinus M19-40,Bacteria,1739487,1651546,87941,1720,1654,1673,1.011,1,3,115,28,180,51,74,100,54,140,63,98,115,14,90,85,32,183,125,57,47,18,0,0,0
NZ_CP009913,Streptococcus salivarius,Bacteria,2188923,1909712,279211,2035,1899,1672,0.880,0,0,46,21,174,71,96,51,35,144,128,110,105,6,52,77,11,221,167,71,29,57,0,0,0
NC_017490,Lactococcus garvieae Lg2,Bacteria,1963964,1713646,250318,2000,1895,1671,0.882,0,0,64,20,109,70,140,55,45,146,126,123,99,10,51,91,17,203,191,53,25,33,0,0,0
NC_015311,Prevotella denticola F0289,Bacteria,2937589,2468165,469424,2336,2232,1670,0.748,0,0,88,27,99,65,110,79,60,142,86,137,168,5,77,84,23,201,113,37,35,34,0,0,0
NC_010794,Methylacidiphilum infernorum V4,Bacteria,2287145,2043057,244088,2167,2099,1669,0.795,0,1,140,24,132,63,93,109,44,127,59,90,159,7,79,96,26,183,113,48,50,26,0,0,0
NC_012704,Corynebacterium kroppenstedtii DSM 44385,Bacteria,2446804,2095436,351368,2072,1939,1669,0.861,1,0,97,20,175,70,119,101,70,135,100,85,79,3,61,111,39,169,130,44,26,34,0,0,0
NC_018015,Thermococcus cleftensis,Archaea,1950313,1778408,171905,2099,2032,1668,0.821,2,4,121,24,106,56,78,73,23,167,94,89,46,4,67,99,11,314,222,24,23,21,0,0,0
NC_015318,Hippea maritima DSM 10411,Bacteria,1694430,1599454,94976,1782,1699,1668,0.982,0,0,110,20,154,46,68,105,53,135,61,129,113,77,72,70,26,156,101,96,63,13,0,0,0
NC_013799,Hydrogenobacter thermophilus TK-6,Bacteria,1743135,1685088,58047,1927,1862,1667,0.895,1,2,192,23,121,52,59,111,42,138,54,95,134,26,81,83,15,182,115,55,65,21,0,0,0
NC_014643,Rothia dentocariosa ATCC 17931,Bacteria,2506025,2116271,389754,2126,2040,1665,0.816,2,0,99,22,134,60,89,82,62,143,110,95,92,8,71,93,39,194,131,53,32,54,0,0,0
NC_012470,Streptococcus equi subsp. zooepidemicus,Bacteria,2149868,1823459,326409,2003,1887,1661,0.880,0,0,45,26,107,69,171,40,50,146,137,137,97,6,54,69,17,179,162,63,28,57,0,0,1
NZ_CP013292,Rathayibacter toxicus,Bacteria,2346032,1961777,384255,2137,2008,1661,0.827,1,0,90,30,162,66,124,90,57,135,121,100,116,2,63,69,28,173,106,61,25,42,0,0,0
NC_015558,Streptococcus parauberis KCTC 11537,Bacteria,2143887,1877231,266656,2198,1839,1660,0.903,0,0,60,16,128,62,179,46,53,140,149,97,74,8,48,78,22,226,170,45,22,36,0,0,1
NC_000907,Haemophilus influenzae Rd KW20,Bacteria,1830138,1531752,298386, , ,1659,#VALUE!,1,0,98,23,161,56,110,86,43,154,85,106,122,9,91,94,15,157,149,40,42,16,1,0,0
NC_021592,Ferroplasma acidarmanus fer1,Archaea,1935211,1689671,245540,1935,1871,1656,0.885,0,1,119,7,205,56,109,97,54,139,89,140,59,3,60,70,35,237,136,8,16,16,0,0,0
NC_015709,Zymomonas mobilis subsp. pomaceae ATCC 29192,Bacteria,2061413,1766028,295385,1833,1743,1652,0.948,0,0,97,27,143,52,75,96,51,145,82,98,122,48,77,78,29,174,124,65,48,20,0,0,1
NZ_CP014161,Aerococcus urinae,Bacteria,1974262,1708124,266138,1802,1714,1651,0.963,0,0,87,23,136,69,133,69,50,146,116,109,93,7,41,71,15,205,168,55,27,31,0,0,0
NC_015975,Lactobacillus ruminis ATCC 27782,Bacteria,2066652,1726790,339862,2035,1836,1651,0.899,0,0,43,26,157,71,116,38,48,139,121,164,92,53,46,67,13,170,154,67,35,31,0,0,0
NC_022246,Streptococcus intermedius B196,Bacteria,1996214,1750058,246156,1945,1828,1649,0.902,0,1,49,26,108,76,165,31,35,150,142,113,104,8,56,63,15,200,163,57,29,56,0,0,2
NZ_AP012324,Bifidobacterium breve DSM 20213 = JCM 1192,Bacteria,2269415,1964450,304965,1961,1854,1646,0.888,1,0,50,27,175,65,198,50,38,135,141,127,81,2,53,70,13,186,99,70,18,47,0,0,0
NC_010471,Leuconostoc citreum KM20,Bacteria,1896614,1680955,215659,1900,1778,1645,0.925,0,0,70,27,133,79,138,61,55,144,130,115,86,8,51,78,24,190,159,45,25,27,0,0,0
NC_015436,Sphaerochaeta coccoides DSM 17374,Bacteria,2227296,1990985,236311,1907,1820,1644,0.903,0,0,75,60,161,57,253,40,44,135,112,97,45,3,54,61,17,186,106,53,19,27,0,0,39
NZ_CP009574,Francisella sp. FSC1006,Bacteria,2015987,1847881,168106,1961,1891,1633,0.864,1,1,98,22,151,63,116,70,65,155,61,91,117,24,78,67,33,181,135,26,49,28,0,0,1
NC_015214,Lactobacillus acidophilus 30SC,Bacteria,2097766,1843260,254506,2105,1923,1632,0.849,0,0,57,24,121,84,154,31,44,141,119,167,94,6,48,74,10,187,157,48,22,44,0,0,0
NC_015435,Metallosphaera cuprina Ar-4,Archaea,1840348,1627838,212510,1946,1878,1632,0.869,3,2,151,17,154,56,91,94,58,166,96,75,51,9,73,77,28,251,127,22,16,15,0,0,0
NZ_CP013195,Prevotella enoeca,Bacteria,2861432,2486427,375005,2447,2332,1631,0.699,0,0,70,32,83,62,95,78,61,143,85,193,156,7,65,79,28,186,93,33,46,36,0,0,0
NC_015144,Weeksella virosa DSM 16922,Bacteria,2272954,2036850,236104,2164,2061,1630,0.791,0,0,99,17,137,57,56,97,75,144,61,98,160,6,84,109,26,186,125,30,32,31,0,0,0
NC_021175,Streptococcus cristatus AS 1.3089,Bacteria,2142100,1853173,288927,2126,1959,1630,0.832,0,0,43,25,140,73,122,52,42,152,122,114,90,8,49,72,13,190,177,61,33,52,0,0,0
NC_009337,Chlorobium phaeovibrioides DSM 265,Bacteria,1966858,1800910,165948,1830,1765,1626,0.921,1,0,133,23,118,52,71,107,49,135,72,105,163,3,69,89,22,188,107,48,44,27,0,0,0
NZ_LN794158,Candidatus Methylopumilus turicensis,Bacteria,1754988,1613401,141587,1768,1689,1623,0.961,1,0,98,29,121,46,69,100,52,154,68,98,152,13,95,73,21,160,153,51,55,14,0,0,0
NC_017946,Pyrococcus sp. ST04,Archaea,1736885,1608392,128493,1865,1793,1622,0.905,3,4,120,21,156,51,90,78,19,169,88,79,49,28,50,90,10,249,189,31,24,24,0,0,0
NC_015713,Simkania negevensis Z,Bacteria,2628375,2383281,245094,2405,2351,1620,0.689,0,4,86,23,121,45,112,63,47,144,55,153,134,14,77,50,27,219,122,43,53,28,0,0,0
NC_007576,Lactobacillus sakei subsp. sakei 23K,Bacteria,1884661,1635358,249303,1889,1769,1615,0.913,0,0,60,26,100,76,118,50,47,144,149,114,90,9,49,70,16,202,185,49,25,36,0,0,0
NC_015598,Lactobacillus kefiranofaciens ZW3,Bacteria,2354088,2065289,288799,2306,2008,1615,0.804,0,0,54,25,101,83,130,32,48,139,123,180,88,8,50,68,14,181,169,53,31,38,0,0,0
NC_000961,Pyrococcus horikoshii OT3,Archaea,1738505,1604200,134305,1910,1801,1611,0.895,2,4,105,23,121,49,88,70,19,167,98,80,47,32,55,81,12,279,200,30,30,18,0,0,1
NC_006814,Lactobacillus acidophilus NCFM,Bacteria,1993560,1741788,251772, , ,1610,#VALUE!,0,0,71,25,127,78,171,31,40,140,131,114,90,8,49,66,10,196,147,53,22,41,0,0,0
NZ_CP007181,Campylobacter coli RM4661,Bacteria,1872235,1734063,138172,1965,1805,1610,0.892,0,1,98,22,146,47,58,91,40,131,52,76,130,57,76,104,21,196,133,48,57,26,0,0,0
NC_016070,Thermoproteus tenax Kra 1,Archaea,1841542,1614141,227401,2047,1959,1607,0.820,2,3,157,13,151,56,88,101,45,159,81,79,51,4,64,69,15,253,149,33,19,14,0,0,1
NZ_CP009043,Campylobacter iguaniorum,Bacteria,1754638,1616982,137656,1827,1754,1607,0.916,1,0,121,20,144,48,51,88,49,134,60,88,126,63,78,97,23,178,90,72,57,19,0,0,0
NC_002946,Neisseria gonorrhoeae FA 1090,Bacteria,2153922,1655196,498726,2350,2157,1604,0.744,4,1,107,26,139,46,57,83,42,149,73,147,127,24,67,79,15,150,154,35,54,24,1,0,0
NC_013164,Anaerococcus prevotii DSM 20548,Bacteria,1998633,1779971,218662,1875,1783,1602,0.898,1,1,93,24,114,64,147,55,37,135,128,107,76,6,61,107,9,179,128,49,22,58,0,0,1
NC_015847,Methanococcus maripaludis X1,Archaea,1746697,1554466,192231,1868,1791,1602,0.894,2,4,156,16,130,49,52,131,18,160,81,66,42,24,54,88,5,220,235,25,24,19,0,1,0
NZ_CP008944,Corynebacterium atypicum,Bacteria,2359448,2055620,303828,2109,1881,1601,0.851,1,0,87,21,143,62,95,92,46,138,127,100,76,1,67,95,30,163,150,52,22,33,0,0,0
NZ_CP008796,Thermodesulfobacterium commune DSM 2178,Bacteria,1764045,1634406,129639,1772,1682,1600,0.951,1,1,164,21,105,51,51,88,40,149,59,115,93,68,76,70,10,173,102,87,56,20,0,0,0
NC_017581,Streptococcus thermophilus JIM 8232,Bacteria,1929905,1630797,299108,2005,1797,1599,0.890,0,0,44,19,184,66,81,53,34,147,103,175,84,8,54,73,14,186,144,44,30,56,0,0,0
NC_022759,Campylobacter fetus subsp. testudinum 03-427,Bacteria,1775480,1637064,138416,1759,1692,1596,0.943,0,0,124,22,148,47,54,89,37,137,53,80,122,67,74,110,21,175,92,69,57,18,0,0,0
NC_015581,Thioalkalimicrobium cyclicum ALM1,Bacteria,1932455,1810424,122031,1709,1649,1594,0.967,1,0,95,28,126,47,61,107,40,153,70,91,116,15,85,90,28,178,130,47,59,27,0,0,0
NC_009637,Methanococcus maripaludis C7,Archaea,1772694,1557131,215563,1852,1787,1593,0.891,2,4,135,18,136,50,54,132,17,159,80,78,36,30,54,87,5,217,220,35,25,19,0,0,0
NC_015389,Coriobacterium glomerans PW2,Bacteria,2115681,1835233,280448,1839,1733,1589,0.917,0,1,61,19,108,52,302,54,32,134,154,74,89,1,41,53,10,175,108,60,20,41,0,0,0
NC_015680,Pyrococcus yayanosii CH1,Archaea,1716818,1570019,146799,1888,1795,1586,0.884,2,4,133,23,89,51,77,79,19,164,87,93,43,29,61,97,10,255,192,32,26,20,0,0,0
NZ_CP015575,Campylobacter hyointestinalis subsp. hyointestinalis LMG 9260,Bacteria,1753385,1602566,150819,1794,1695,1581,0.933,0,0,119,19,136,46,52,92,42,131,53,93,127,63,80,93,20,188,86,65,53,23,0,0,0
NC_014363,Olsenella uli DSM 7084,Bacteria,2051896,1775303,276593,1793,1707,1580,0.926,0,1,76,21,152,53,167,42,36,136,143,84,85,1,49,73,27,179,117,75,19,44,0,0,0
NZ_CP012541,Campylobacter concisus,Bacteria,1840041,1695621,144420,1867,1765,1579,0.895,0,0,114,22,129,47,53,86,45,129,47,78,127,61,75,92,24,192,116,66,55,21,0,0,0
NC_015846,Capnocytophaga canimorsus Cc5,Bacteria,2571406,2250704,320702,2296,2188,1579,0.722,0,0,88,23,113,55,81,81,48,136,69,121,142,10,76,89,15,196,139,39,30,27,0,0,1
NZ_CP012196,Campylobacter gracilis,Bacteria,2281652,1904722,376930,2252,2150,1578,0.734,0,0,134,19,150,47,48,89,39,126,56,92,114,14,75,97,18,222,113,65,43,17,0,0,0
NC_008528,Oenococcus oeni PSU-1,Bacteria,1780517,1570246,210271,1799,1662,1578,0.949,0,0,66,14,125,70,151,53,58,130,117,92,96,8,46,68,26,202,142,47,22,45,0,0,0
NC_021744,Lactobacillus helveticus CNRZ32,Bacteria,2225962,1927905,298057,2273,1913,1577,0.824,0,0,50,23,105,82,100,38,43,135,105,261,81,7,51,64,11,175,149,43,23,31,0,0,0
NC_012115,Nautilia profundicola AmH,Bacteria,1676444,1570884,105560,1774,1699,1577,0.928,0,0,134,21,130,52,51,90,39,131,55,70,108,79,71,79,19,155,107,109,64,13,0,0,0
NC_008525,Pediococcus pentosaceus ATCC 25745,Bacteria,1832387,1617640,214747,1795,1707,1576,0.923,0,0,56,18,103,73,162,40,47,147,149,102,99,7,43,61,18,191,152,53,24,31,0,0,0
NZ_CP016598,Leuconostoc lactis,Bacteria,1788069,1583954,204115,1750,1646,1571,0.954,0,0,59,27,159,76,116,66,45,140,107,120,91,8,47,83,16,167,142,42,23,37,0,0,0
NC_013162,Capnocytophaga ochracea DSM 7271,Bacteria,2612925,2260048,352877,2216,2128,1571,0.738,0,0,79,22,95,57,101,85,62,139,60,88,168,8,68,91,30,173,128,40,40,37,0,0,0
NC_009726,Coxiella burnetii Dugway 5J108-111,Bacteria,2212937,1964809,248128,2249,2060,1566,0.760,1,0,90,30,107,46,83,90,70,143,65,100,127,17,64,45,40,188,141,51,40,25,0,0,3
NC_014917,Thermovibrio ammonificans HB-1,Bacteria,1759526,1666512,93014,1858,1790,1566,0.875,0,2,123,23,110,63,48,88,35,144,59,88,121,71,68,73,15,160,122,61,72,20,0,0,0
NZ_CP009238,Basilea psittacipulmonis DSM 24701,Bacteria,1959069,1718866,240203,1692,1618,1565,0.967,1,1,113,25,157,47,61,83,46,147,60,100,132,7,73,71,27,162,111,53,64,17,7,0,0
NC_014246,Mobiluncus curtisii ATCC 43063,Bacteria,2146480,1926932,219548,1863,1791,1564,0.873,2,0,100,28,117,55,109,70,28,135,104,105,103,47,65,66,11,157,97,76,46,40,0,1,2
NC_015562,Methanotorris igneus Kol 5,Archaea,1854197,1523996,330201,1816,1746,1561,0.894,2,6,155,18,125,50,52,126,16,154,69,95,50,5,52,77,6,240,218,16,20,9,0,0,0
NC_018673,Leuconostoc carnosum JB16,Bacteria,1773468,1548902,224566,1744,1647,1557,0.945,0,0,51,25,155,81,122,56,47,145,120,104,82,8,50,71,18,176,143,45,28,30,0,0,0
NC_017861,Prevotella intermedia 17,Bacteria,2699437,2281978,417459,2279,2136,1552,0.727,1,0,75,31,82,65,62,78,50,142,92,149,148,8,78,62,14,189,115,33,37,41,0,0,0
NC_004307,Bifidobacterium longum NCC2705,Bacteria,2260266,1929288,330978, , ,1550,#VALUE!,1,0,53,24,169,67,174,53,40,135,130,101,74,4,52,68,11,175,95,60,21,43,0,0,0
NC_000916,Methanothermobacter thermautotrophicus str. Delta H,Archaea,1751377,1565265,186112,1858,1746,1541,0.883,2,5,155,13,101,52,45,127,22,144,66,74,58,3,64,74,6,239,214,44,19,14,0,0,0
NC_009634,Methanococcus vannielii SB,Archaea,1720048,1489343,230705,1751,1675,1539,0.919,2,4,149,16,119,49,50,122,14,157,85,72,36,30,53,75,6,209,213,28,28,21,0,0,1
NC_010376,Finegoldia magna ATCC 29328,Bacteria,1986740,1797350,189390,1891,1819,1538,0.846,0,1,86,31,104,61,65,60,29,148,93,121,107,8,60,87,5,157,153,55,24,82,0,0,1
NZ_CP009302,Coriobacteriaceae bacterium 68-1-3,Bacteria,1967093,1731621,235472,1715,1608,1538,0.956,1,1,136,19,144,51,49,83,46,136,129,82,98,2,58,106,15,162,101,68,26,25,0,0,0
NC_012438,Sulfurihydrogenibium azorense Az-Fu1,Bacteria,1640877,1547397,93480,1735,1667,1536,0.921,0,1,118,21,107,52,51,96,40,137,54,106,130,55,77,74,14,151,108,70,63,10,0,1,0
NC_008701,Pyrobaculum islandicum DSM 4184,Archaea,1826402,1615704,210698,2075,1966,1536,0.781,3,3,141,14,151,52,62,99,31,161,93,101,44,7,65,75,11,217,134,32,21,18,0,0,1
NC_008942,Methanocorpusculum labreanum Z,Archaea,1804962,1583437,221525,1862,1782,1533,0.860,0,2,138,10,137,49,58,126,23,142,83,73,39,4,61,98,9,237,185,28,17,14,0,0,0
NZ_CP013939,Streptococcus thermophilus,Bacteria,1787436,1498672,288764,1895,1689,1532,0.907,0,0,43,18,179,70,82,49,34,148,90,154,82,9,51,72,12,184,132,46,26,51,0,0,0
NC_018016,Ornithobacterium rhinotracheale DSM 15997,Bacteria,2399175,2155705,243470,2289,2210,1531,0.693,0,0,76,23,115,53,82,94,44,138,56,130,131,4,68,99,17,189,118,24,33,37,0,0,0
NZ_CP013011,Pyrodictium delaneyi,Archaea,2023836,1712514,311322,2065,1992,1526,0.766,2,1,123,11,146,58,48,98,33,171,98,79,26,9,72,66,12,267,144,25,23,14,0,0,0
NC_022198,Corynebacterium argentoratense DSM 44202,Bacteria,2031902,1805647,226255,1890,1772,1526,0.861,1,1,79,20,159,60,93,92,64,141,100,93,74,1,62,95,35,155,114,43,24,20,0,0,0
NC_000909,Methanocaldococcus jannaschii DSM 2661,Archaea,1739927,1519072,220855,1853,1765,1524,0.863,2,7,135,25,106,49,50,110,15,158,68,91,35,18,48,61,7,264,219,12,27,17,0,0,0
NC_008530,Lactobacillus gasseri ATCC 33323 = JCM 1131,Bacteria,1894360,1693264,201096,1865,1744,1521,0.872,0,0,52,24,94,60,156,28,34,142,130,111,98,11,48,62,6,182,167,47,27,42,0,0,0
NC_014408,Methanothermobacter marburgensis str. Marburg,Archaea,1639135,1479879,159256,1761,1689,1516,0.898,2,4,157,10,102,55,43,121,24,149,68,66,49,2,60,70,6,235,216,40,19,18,0,0,0
NC_012846,Bartonella grahamii as4aup,Bacteria,2369520,1799989,569531,2003,1855,1516,0.817,0,0,78,26,105,45,55,59,42,144,95,122,121,7,72,59,10,178,143,39,96,13,7,0,0
NC_014147,Moraxella catarrhalis BBH18,Bacteria,1863286,1594804,268482,1716,1624,1515,0.933,1,1,114,24,133,47,36,105,56,155,60,93,95,12,86,87,19,152,131,37,44,26,1,0,0
NZ_CP009415,Candidatus Izimaplasma sp. HR1,Bacteria,1878735,1709420,169315,1849,1801,1514,0.841,0,0,124,17,111,69,114,42,48,152,108,101,37,9,44,68,17,195,136,55,21,44,0,0,2
NC_018720,Bifidobacterium asteroides PRL2011,Bacteria,2167304,1866872,300432,1726,1627,1511,0.929,1,0,53,39,145,59,202,37,36,131,122,93,75,3,47,65,10,144,91,62,16,59,0,0,21
NC_014638,Bifidobacterium bifidum PRL2010,Bacteria,2214656,1853190,361466, , ,1510,#VALUE!,2,0,54,23,148,57,130,50,38,141,123,123,83,10,52,57,11,165,111,63,21,48,0,0,0
NC_002737,Streptococcus pyogenes M1 GAS,Bacteria,1852433,1553031,299402, , ,1507,#VALUE!,0,0,61,21,101,69,132,44,50,148,118,112,74,10,54,69,14,161,154,51,26,38,0,0,0
NZ_CP009149,Methanocaldococcus bathoardescens,Archaea,1607556,1430068,177488,1693,1609,1505,0.935,2,6,137,20,110,49,50,115,15,154,67,86,36,25,49,69,6,247,211,22,23,6,0,0,0
NZ_CP007493,Thermofilum carboxyditrophus 1505,Archaea,1754190,1561996,192194,1909,1849,1502,0.812,2,3,125,20,101,43,105,51,28,152,105,72,47,6,65,76,6,277,156,14,21,25,0,0,2
NC_013894,Thermocrinis albus DSM 14484,Bacteria,1500577,1439894,60683,1626,1567,1500,0.957,0,2,147,21,123,49,50,98,39,132,50,80,112,60,78,73,16,154,97,48,60,11,0,0,0
NC_002163,Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819,Bacteria,1641481,1503957,137524, , ,1496,#VALUE!,0,0,101,22,144,48,50,89,38,131,45,62,132,54,74,95,24,165,104,48,48,22,0,0,0
NC_000918,Aquifex aeolicus VF5,Bacteria,1590791,1445475,145316, , ,1496,#VALUE!,1,2,122,20,107,50,49,99,44,141,49,86,119,55,78,67,19,158,103,49,68,10,0,0,0
NC_011126,Hydrogenobaculum sp. Y04AAS1,Bacteria,1559514,1483835,75679,1658,1595,1496,0.938,0,2,138,21,103,49,58,93,43,133,48,61,115,72,74,67,17,132,120,65,69,16,0,0,0
NZ_CP007028,Thermocrinis ruber,Bacteria,1521037,1457969,63068,1653,1592,1494,0.938,0,2,131,22,107,49,46,100,41,136,51,90,106,55,81,72,14,162,107,44,65,13,0,0,0
NC_015682,Thermodesulfobacterium geofontis OPF15,Bacteria,1634377,1537571,96806,1682,1608,1493,0.928,1,1,111,20,100,51,46,83,44,144,52,97,103,67,79,53,17,161,107,65,66,25,0,0,0
NC_017045,Riemerella anatipestifer ATCC 11845 = DSM 15868,Bacteria,2164087,1959664,204423,2038,1977,1492,0.755,0,0,85,21,105,50,43,86,61,139,81,99,149,5,76,101,23,178,103,35,28,24,0,0,0
NC_013407,Methanocaldococcus vulcanius M7,Archaea,1761737,1485216,276521,1756,1684,1490,0.885,2,6,138,23,108,48,51,110,14,155,71,86,38,27,51,63,2,230,208,27,24,8,0,0,0
NZ_LN907858,Helicobacter typhlonius,Bacteria,1920832,1724788,196044,1906,1788,1487,0.832,0,0,100,24,135,42,55,78,41,133,44,83,126,58,68,73,11,159,122,51,59,25,0,0,0
NC_008618,Bifidobacterium adolescentis ATCC 15703,Bacteria,2089645,1800761,288884,1722,1613,1481,0.918,1,0,46,25,177,59,163,49,37,134,118,103,81,2,45,62,6,147,98,68,19,40,0,0,1
NC_008698,Thermofilum pendens Hrk 5,Archaea,1813393,1624788,188605,1926,1866,1479,0.793,2,2,131,22,95,45,112,52,22,155,96,84,49,6,67,90,5,238,147,15,17,26,0,0,1
NZ_CP012072,Actinomyces meyeri,Bacteria,2049088,1799860,249228,1779,1682,1476,0.878,1,0,76,22,102,48,139,55,43,138,120,91,100,2,65,68,15,161,104,56,24,46,0,0,0
NC_021355,Methanobrevibacter sp. AbM4,Archaea,1998189,1522942,475247,1734,1665,1471,0.883,1,4,137,16,125,52,41,110,17,150,78,90,72,5,44,68,4,214,184,16,19,24,0,0,0
NC_014218,Arcanobacterium haemolyticum DSM 20595,Bacteria,1986154,1736123,250031,1830,1721,1470,0.854,1,0,86,22,85,60,123,58,36,138,107,121,76,1,57,93,13,173,96,52,30,42,0,0,0
NZ_CP008802,Actinotignum schaalii,Bacteria,2159306,1856611,302695,1781,1672,1469,0.879,1,0,60,27,130,51,151,47,35,133,111,95,79,3,56,89,12,172,102,47,22,46,0,0,0
NC_021353,Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,Archaea,1931651,1689987,241664,1866,1804,1465,0.812,1,1,128,18,117,51,54,140,20,145,100,75,34,3,62,106,11,207,135,21,10,26,0,0,0
NZ_CP010552,Candidatus Thioglobus autotrophicus,Bacteria,1512449,1405785,106664,1639,1592,1456,0.915,1,0,125,19,127,45,44,105,40,145,45,97,122,17,99,69,20,158,98,26,40,14,0,0,0
NC_015601,Erysipelothrix rhusiopathiae str. Fujisawa,Bacteria,1787941,1605023,182918,1750,1660,1454,0.876,0,0,59,26,74,54,133,35,27,146,130,122,86,4,43,69,6,176,129,51,23,61,0,0,0
NC_014225,Waddlia chondrophila WSU 86-1044,Bacteria,2131905,1984825,147080,1912,1851,1454,0.786,1,2,99,33,101,46,65,63,58,148,41,152,117,13,66,55,27,171,103,32,45,16,0,0,0
NC_009515,Methanobrevibacter smithii ATCC 35061,Archaea,1853160,1665909,187251,1792,1710,1453,0.850,1,4,134,13,112,52,38,117,25,153,72,81,74,7,49,70,5,209,187,11,18,19,0,0,2
NC_005877,Picrophilus torridus DSM 9790,Archaea,1545895,1418801,127094,1601,1545,1449,0.938,0,1,115,5,180,50,124,90,40,142,81,67,49,1,52,72,23,202,113,10,15,17,0,0,0
NC_010729,Porphyromonas gingivalis ATCC 33277,Bacteria,2354886,2006141,348745,1987,1877,1447,0.771,0,0,84,23,92,55,57,101,43,138,58,155,138,4,58,63,12,184,79,32,37,34,0,0,0
NC_013742,Archaeoglobus profundus DSM 5631,Archaea,1563423,1444250,119173,1851,1771,1446,0.816,2,4,114,18,116,47,45,85,25,152,92,81,42,18,59,60,7,215,185,48,25,6,0,0,0
NC_015931,Pyrolobus fumarii 1A,Archaea,1843267,1591348,251919,1951,1885,1440,0.764,2,3,97,17,123,51,41,98,19,170,91,74,28,11,58,57,10,269,160,28,20,13,0,0,0
NC_006570,Francisella tularensis subsp. tularensis SCHU S4,Bacteria,1892775,1475850,416925, , ,1437,#VALUE!,1,0,82,20,125,58,85,79,54,149,57,131,103,17,60,63,31,148,97,17,39,20,0,0,1
NC_014222,Methanococcus voltae A3,Archaea,1936387,1532871,403516,1733,1656,1437,0.868,1,4,142,18,112,51,47,122,14,153,74,73,31,26,49,72,4,195,187,20,24,18,0,0,0
NC_014314,Dehalogenimonas lykanthroporepellens BL-DC-9,Bacteria,1686510,1481640,204870,1716,1637,1437,0.878,0,2,134,14,128,45,47,86,35,125,83,151,25,17,64,59,13,159,111,82,33,24,0,0,0
NC_013715,Rothia mucilaginosa DY-18,Bacteria,2264603,1868751,395852,1765,1693,1437,0.849,1,0,73,22,131,56,81,82,48,137,88,92,85,4,63,82,25,149,110,44,27,37,0,0,0
NC_002578,Thermoplasma acidophilum DSM 1728,Archaea,1564906,1378132,186774,1570,1508,1435,0.952,0,1,110,11,152,49,111,93,55,136,78,67,46,14,48,63,21,212,121,11,20,16,0,0,0
NC_015185,Desulfurobacterium thermolithotrophum DSM 11699,Bacteria,1541968,1450916,91052,1587,1500,1435,0.957,0,1,113,22,105,58,41,91,38,141,45,105,111,66,54,54,12,145,98,51,70,14,0,0,0
NC_004917,Helicobacter hepaticus ATCC 51449,Bacteria,1799146,1658422,140724,1814,1742,1434,0.823,0,0,98,20,124,42,47,81,43,131,41,69,123,60,71,72,19,159,119,48,44,22,0,0,1
NZ_CP011070,Candidatus Nitrosopumilus adriaticus,Archaea,1803090,1602236,200854,2120,2022,1433,0.709,2,2,103,18,110,43,50,98,33,147,113,68,53,25,73,68,20,158,125,96,17,11,0,0,0
NC_002971,Coxiella burnetii RSA 493,Bacteria,2032807,1573653,459154, , ,1432,#VALUE!,1,0,87,27,95,45,75,86,65,141,55,113,119,15,62,47,26,154,118,42,40,18,0,0,1
NC_012039,Campylobacter lari RM2100,Bacteria,1571661,1480733,90928,1614,1534,1428,0.931,0,0,94,24,113,51,43,82,38,136,50,70,119,61,75,78,24,149,90,51,58,22,0,0,0
NC_008054,Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842 = JCM 1002,Bacteria,1864998,1578493,286505,1931,1638,1428,0.872,0,0,42,19,125,78,83,35,48,136,109,130,84,6,45,61,9,166,118,62,21,51,0,0,0
NC_018644,alpha proteobacterium HIMB59,Bacteria,1410127,1356335,53792,1512,1467,1423,0.970,0,2,102,14,217,45,128,81,53,124,47,61,93,2,67,59,37,152,84,24,20,11,0,0,0
NC_010482,Candidatus Korarchaeum cryptofilum OPF8,Archaea,1590757,1424958,165799,1697,1627,1422,0.874,3,5,136,25,167,38,46,58,22,146,84,83,38,1,59,67,10,233,154,17,11,18,0,0,1
NC_013156,Methanocaldococcus fervens AG86,Archaea,1507251,1359895,147356,1634,1550,1418,0.915,3,6,124,22,102,48,51,110,16,154,65,84,35,27,48,63,4,201,191,23,27,14,0,0,0
